"Code","Description","Condition","Sub-condition","Diagnosis"
"C1001","Diabetes mellitus: [adult onset, with no mention of complication] or [maturity onset] or [non-insulin dependent]","Type 2 diabetes","Type 2 diabetes","N"
"C1011","Type 2 diabetes mellitus with ketoacidosis","Type 2 diabetes","Type 2 diabetes","Y"
"C1041","Diabetes mellitus, adult onset, with renal manifestation","Type 2 diabetes","Type 2 diabetes","N"
"C1051","Diabetes mellitus, adult onset, with ophthalmic manifestation","Type 2 diabetes","Type 2 diabetes","N"
"C1061","Diabetes mellitus, adult onset, with neurological manifestation","Type 2 diabetes","Type 2 diabetes","N"
"C1074","NIDDM with peripheral circulatory disorder","Type 2 diabetes","Type 2 diabetes","Y"
"C109.","See X40J5 (Type II diabetes mellitus)","Type 2 diabetes","Type 2 diabetes","Y"
"C1090","Type II diabetes mellitus with renal complications","Type 2 diabetes","Type 2 diabetes","Y"
"C1091","Type II diabetes mellitus with ophthalmic complications","Type 2 diabetes","Type 2 diabetes","Y"
"C1092","Type II diabetes mellitus with neurological complications","Type 2 diabetes","Type 2 diabetes","Y"
"C1093","Type II diabetes mellitus with multiple complications","Type 2 diabetes","Type 2 diabetes","Y"
"C1094","Type II diabetes mellitus with ulcer","Type 2 diabetes","Type 2 diabetes","Y"
"C1095","Type II diabetes mellitus with gangrene","Type 2 diabetes","Type 2 diabetes","Y"
"C1096","Type II diabetes mellitus with retinopathy","Type 2 diabetes","Type 2 diabetes","Y"
"C1097","Type II diabetes mellitus - poor control","Type 2 diabetes","Type 2 diabetes","Y"
"L1806","Pre-existing diabetes mellitus, non-insulin-dependent","Type 2 diabetes","Type 2 diabetes","Y"
"X40J5","Type II diabetes mellitus","Type 2 diabetes","Type 2 diabetes","Y"
"X40J6","Insulin treated Type 2 diabetes mellitus","Type 2 diabetes","Type 2 diabetes","Y"
"X40JJ","Diabetes mellitus autosomal dominant type 2","Type 2 diabetes","Type 2 diabetes","N"
"Xa2hA","Dietary advice for type II diabetes","Type 2 diabetes","Type 2 diabetes","N"
"Xaagf","Type II diabetes mellitus in remission","Type 2 diabetes","Type 2 diabetes","Y"
"XaELQ","Type II diabetes mellitus without complication","Type 2 diabetes","Type 2 diabetes","Y"
"XaEnp","Type II diabetes mellitus with mononeuropathy","Type 2 diabetes","Type 2 diabetes","Y"
"XaEnq","Type II diabetes mellitus with polyneuropathy","Type 2 diabetes","Type 2 diabetes","Y"
"XaF05","Type II diabetes mellitus with nephropathy","Type 2 diabetes","Type 2 diabetes","Y"
"XaFmA","Type II diabetes mellitus with diabetic cataract","Type 2 diabetes","Type 2 diabetes","Y"
"XaFn7","Type II diabetes mellitus with peripheral angiopathy","Type 2 diabetes","Type 2 diabetes","Y"
"XaFn8","Type II diabetes mellitus with arthropathy","Type 2 diabetes","Type 2 diabetes","Y"
"XaFn9","Type II diabetes mellitus with neuropathic arthropathy","Type 2 diabetes","Type 2 diabetes","Y"
"XaFWI","Type II diabetes mellitus with hypoglycaemic coma","Type 2 diabetes","Type 2 diabetes","Y"
"XaIfG","Type II diabetes on insulin","Type 2 diabetes","Type 2 diabetes","Y"
"XaIfI","Type II diabetes on diet only","Type 2 diabetes","Type 2 diabetes","Y"
"XaIrf","Hyperosmolar non-ketotic state in type II diabetes mellitus","Type 2 diabetes","Type 2 diabetes","Y"
"XaIzQ","Type II diabetes mellitus with persistent proteinuria","Type 2 diabetes","Type 2 diabetes","Y"
"XaIzR","Type II diabetes mellitus with persistent microalbuminuria","Type 2 diabetes","Type 2 diabetes","Y"
"XaJQp","Type II diabetes mellitus with exudative maculopathy","Type 2 diabetes","Type 2 diabetes","Y"
"XaKyX","Type II diabetes mellitus with gastroparesis","Type 2 diabetes","Type 2 diabetes","Y"
"XaMhK","Diabetes type II review","Type 2 diabetes","Type 2 diabetes","N"
"XaX3q","Type II diabetic dietary review","Type 2 diabetes","Type 2 diabetes","N"
"XaXZR","H/O: diabetes mellitus type 2","Type 2 diabetes","Type 2 diabetes","N"
"XE10F","Diabetes mellitus, adult onset, with no mention of complication","Type 2 diabetes","Type 2 diabetes","N"
"XE12A","Diabetes mellitus: [adult onset] or [noninsulin dependent]","Type 2 diabetes","Type 2 diabetes","N"
"XSETH","Maturity onset diabetes mellitus in young","Type 2 diabetes","Type 2 diabetes","N"
