"Code","Description","Condition","Sub-condition","Diagnosis"
"66An.","Diabetes type 1 review","Type 1 diabetes","Type 1 diabetes","N"
"C1000","Diabetes mellitus, juvenile type, with no mention of complication","Type 1 diabetes","Type 1 diabetes","N"
"C1060","Diabetes mellitus, juvenile type, with neurological manifestation","Type 1 diabetes","Type 1 diabetes","N"
"C108.","Insulin dependent diabetes mellitus","Type 1 diabetes","Type 1 diabetes","Y"
"C1088","Insulin dependent diabetes mellitus - poor control","Type 1 diabetes","Type 1 diabetes","Y"
"C1089","Insulin dependent diabetes maturity onset","Type 1 diabetes","Type 1 diabetes","Y"
"C10E.","Type 1 diabetes mellitus","Type 1 diabetes","Type 1 diabetes","Y"
"C10E7","Type 1 diabetes mellitus with retinopathy","Type 1 diabetes","Type 1 diabetes","Y"
"C10E8","Type 1 diabetes mellitus - poor control","Type 1 diabetes","Type 1 diabetes","Y"
"C10ED","Type 1 diabetes mellitus with nephropathy","Type 1 diabetes","Type 1 diabetes","Y"
"C10EF","Type 1 diabetes mellitus with diabetic cataract","Type 1 diabetes","Type 1 diabetes","Y"
"C10EH","Type 1 diabetes mellitus with arthropathy","Type 1 diabetes","Type 1 diabetes","Y"
"C10EK","Type 1 diabetes mellitus with persistent proteinuria","Type 1 diabetes","Type 1 diabetes","Y"
"C10EL","Type 1 diabetes mellitus with persistent microalbuminuria","Type 1 diabetes","Type 1 diabetes","Y"
"C10EM","Type 1 diabetes mellitus with ketoacidosis","Type 1 diabetes","Type 1 diabetes","Y"
"C10EP","Type 1 diabetes mellitus with exudative maculopathy","Type 1 diabetes","Type 1 diabetes","Y"
"C10EQ","Type 1 diabetes mellitus with gastroparesis","Type 1 diabetes","Type 1 diabetes","Y"
"7L100","Continuous subcutaneous infusion of insulin","Type 1 diabetes","Type 1 diabetes","N"
